"title","url","stars","name","reviewUrl","text"
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","araso mu","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KM1JXcGxZM2xyTVV3eFZGSlhRVlZIT0RsVVVVRRAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOmJ3RWplY3lrMUwxVFJXQVVHODlUUUE%7C0dHf-tHT3C1%7C?hl=id",
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","ARIAN BAWANA","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCeUxWRmlhakUyTVU5eGRXWjNTSGhhTUUwelVrRRAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOlByLVFiajE2MU9xdWZ3SHhaME0zUkE%7C0dGzV0JjPN7%7C?hl=id",
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Desis Triyasih","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWMFNtZDZkRE00VFVKWGRFVkdUWE5xUW1zMGVIYxAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOlV0Smd6dDM4TUJXdEVGTXNqQms0eHc%7C0dF2YYBsBbu%7C?hl=id","Pantai yang menakjubkan dengan pasir-pasir putih .. good"
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","rizal taufik","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxbFptcDJjVFJIVEZSeVF6UTJNbEprZWxOV1RVRRAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOi1lZmp2cTRHTFRyQzQ2MlJkelNWTUE%7C0dETHH9fcnG%7C?hl=id","Pantai Tanjung Gelam merupakan salah satu pantai paling indah di Karimunjawa. Pasirnya putih dan halus, air lautnya sangat jernih dengan gradasi warna biru yang menenangkan. Suasananya cocok untuk bersantai, berenang, dan berfoto. Sunset di pantai ini sangat terkenal dan memang luar biasa indah. Akses menuju lokasi cukup mudah dan sudah ada warung-warung sederhana. Tempat yang wajib dikunjungi saat liburan ke Karimunjawa.

Pantai yang cocok untuk bawa anak untuk berenang area dangkalnya luas,bisa juga sewa watersport seperti banana boat,jetski,dll"
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Iwan Kristianto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SUVptNXlVemd4V0dSbE1UWnBaa1YwZWxoT2JuYxAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOmRQZm5yUzgxWGRlMTZpZkV0elhObnc%7C0dCx612UUhy%7C?hl=id","Salah satu pantai favorit bila ke Karimunjawa, karena berdekatan dengan pantai yang lain seperti Sunset Beach dan pantai Batu Topeng.
Di pantai Tanjung Gelam, kita bisa mendapatkan spot Sunset, juga terdapat spot favorit untuk berfoto di pohon kelapa yang tumbuh miring menjorok ke laut."
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Ivu Visual","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GNFJtUklaREJvVTI5Q1pHTlZhVkJsUlV4UU5XYxAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOmF4RmRIZDBoU29CZGNVaVBlRUxQNWc%7C0d68NmDglcJ%7C?hl=id","Pantai denganpasir putih yang bersih, panorama laut membiru sedap di pandang mata, spot sunset yang mempesona"
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Angryan Fbr","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSbFpEVlNRMVZXVnpJM1IzSTNhVk5RYW5sVWIwRRAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOkRlZDVSQ1VWVzI3R3I3aVNQanlUb0E%7C0d23Nc2D7gF%7C?hl=id",
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Sudrajat Ahmad","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21ndFJIQkRWR0pPVURodVF6WmFZbUZzZW14eFNGRRAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOmgtRHBDVGJOUDhuQzZaYmFsemxxSFE%7C0d-VNqteAR5%7C?hl=id","The iconic tanjung gelam coconut trees"
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Agung Pradjoko","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21weE5ITXpTM3BPWlZOcFRrcEdSbVZJYm1wdlgwRRAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOmpxNHMzS3pOZVNpTkpGRmVIbmpvX0E%7C0czluzKqhKj%7C?hl=id",
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","muh dliyaulhaq","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psYU5HVlFjWGswTWxBNFkxODBWVWxPUmtveWQyYxAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOjlaNGVQcXk0MlA4Y180VUlORkoyd2c%7C0czLAwmjF31%7C?hl=id",
"Pantai Tanjung Gelam","https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Gelam&query_place_id=ChIJPS5tRtvNcy4R2KODgwzpYk8","5","Safa Attu Rahman","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSNGNIRkZOVXhqVDFwYWRHUXRhbTE2VjBocGQyYxAB!2m1!1s0x0:0x4f62e90c8383a3d8!3m1!1s2@1:CAIQACodChtycF9oOkR4cHFFNUxjT1padGQtam16V0hpd2c%7C0cvuMk33anc%7C?hl=id","Kemaleman saking g move on nya"
